Date,Vessel,DWT,Origin,Destination,Cargo,Quantity,Rate,Laycan,Contract type
2022-09-17,Trade Venture,81076,Taboneo,Vizag,Coal,71929,10.58,2022-10-04/2022-10-08,Spot
2025-08-02,Global Voyager,79306,Novorossiysk (Black Sea),Haldia,Coal,70171,20.31,2025-08-18/2025-08-22,Time Charter
2021-10-22,Atlantic Pride,79658,Gladstone,Gangavaram,Coal,75763,17.36,2021-11-10/2021-11-13,Spot
2022-09-17,Global Eagle,158451,Novorossiysk (Black Sea),Haldia,Coal,137465,22.7,2022-09-26/2022-10-01,COA
2022-07-19,Blue Phoenix,178486,Novorossiysk (Black Sea),Haldia,Coal,153090,22.45,2022-08-07/2022-08-13,Time Charter
2022-10-17,Cape Pride,178305,New Orleans,Gangavaram,Coal,154305,29.5,2022-10-24/2022-10-28,Spot
2024-06-08,Atlantic Phoenix,168300,Samarinda,Vizag,Coal,143630,10.89,2024-06-18/2024-06-22,Time Charter
2025-03-05,Atlantic Horizon,168170,Muara Pantai,Dhamra,Coal,148533,9.66,2025-03-26/2025-04-01,Spot
2025-10-31,Golden Eagle,81443,Ust-Luga (Baltic),Dhamra,Coal,71604,20.9,2025-11-16/2025-11-23,Time Charter
2023-10-12,Royal Pioneer,174856,Nacala,Gopalpur,Coal,165957,19.93,2023-11-02/2023-11-06,Time Charter
2024-01-10,Royal Eagle,79177,Dalrymple Bay,Haldia,Coal,68940,16.29,2024-01-24/2024-01-30,Spot
2024-04-09,Southern Glory,80815,Hampton Roads,Paradip,Coal,72119,29.99,2024-04-27/2024-04-30,Time Charter
2023-01-15,Star Legacy,79196,Hampton Roads,Gangavaram,Coal,67796,36.37,2023-01-26/2023-01-31,Time Charter
2024-07-08,Northern Eagle,76504,Dalrymple Bay,Gopalpur,Coal,70451,15.89,2024-07-28/2024-08-04,Spot
2020-01-31,Silver Harmony,77699,Dalrymple Bay,Vizag,Coal,67972,16.43,2020-02-14/2020-02-18,Time Charter
2021-03-26,Bay Discovery,164283,Vostochny (Far East),Gopalpur,Coal,155806,23.64,2021-04-16/2021-04-21,Spot
2020-03-31,Blue Falcon,76129,Baltimore,Dhamra,Coal,69810,30.64,2020-04-18/2020-04-21,Spot
2022-11-16,Southern Navigator,170854,Samarinda,Vizag,Coal,160470,9.63,2022-11-27/2022-12-04,Spot
2020-04-30,Golden Glory,81575,Ust-Luga (Baltic),Vizag,Coal,78189,24.27,2020-05-09/2020-05-14,Spot
2025-05-04,Pacific Endeavour,170381,Taboneo,Paradip,Coal,151379,11.89,2025-05-14/2025-05-19,Spot
2021-12-21,Atlantic Discovery,170309,Muara Pantai,Vizag,Coal,147904,11.18,2022-01-10/2022-01-17,Spot
2023-11-11,Atlantic Trader,78931,Ust-Luga (Baltic),Paradip,Coal,68447,24.82,2023-11-29/2023-12-03,Spot
2023-04-15,Northern Horizon,161482,Baltimore,Gangavaram,Coal,139923,29.91,2023-04-22/2023-04-25,Time Charter
2024-02-09,Western Progress,78179,Newcastle,Gopalpur,Coal,69695,16.66,2024-02-26/2024-03-01,Spot
2025-01-04,Coral Venture,75093,Muara Pantai,Gangavaram,Coal,71681,10.73,2025-01-20/2025-01-23,Time Charter
2022-02-19,Ocean Discovery,155557,Taboneo,Haldia,Coal,135395,10.13,2022-03-07/2022-03-12,COA
2020-04-30,Western Endeavour,152743,Newcastle,Paradip,Coal,143488,16.58,2020-05-11/2020-05-14,Spot
2024-11-05,Western Legacy,178108,Baltimore,Paradip,Coal,170968,33.12,2024-11-23/2024-11-29,Time Charter
2021-10-22,Sea Legacy,76705,Baltimore,Gopalpur,Coal,72630,31.55,2021-11-07/2021-11-14,COA
2025-04-04,Silver Harmony,162382,Hay Point,Haldia,Coal,138229,16.41,2025-04-11/2025-04-15,Spot
2020-01-31,Star Endeavour,76098,Beira,Gopalpur,Coal,68753,22.38,2020-02-11/2020-02-14,Spot
2020-08-28,Ocean Pioneer,80969,Samarinda,Dhamra,Coal,75690,9.49,2020-09-09/2020-09-12,Spot
2021-02-24,Grand Navigator,79905,Novorossiysk (Black Sea),Gangavaram,Coal,77090,23.84,2021-03-12/2021-03-17,Spot
2021-02-24,Southern Navigator,171917,Nacala,Dhamra,Coal,159509,19.77,2021-03-16/2021-03-23,Spot
2021-11-21,Eastern Fortune,80495,New Orleans,Dhamra,Coal,72503,34.07,2021-12-11/2021-12-14,Spot
2025-03-05,Pacific Eagle,80570,Taboneo,Haldia,Coal,77835,8.06,2025-03-18/2025-03-23,Spot
2020-03-01,Cape Legacy,79124,Muara Pantai,Paradip,Coal,75053,12.55,2020-03-08/2020-03-13,Spot
2024-11-05,Global Trader,168301,Muara Pantai,Gangavaram,Coal,148341,10.94,2024-11-15/2024-11-19,Spot
2024-08-07,Royal Discovery,171434,Nacala,Vizag,Coal,166029,21.91,2024-08-19/2024-08-23,Spot
2022-03-21,Grand Harmony,181632,Novorossiysk (Black Sea),Paradip,Coal,157974,21.54,2022-03-30/2022-04-02,Time Charter
2024-02-09,Southern Voyager,159413,Vostochny (Far East),Dhamra,Coal,141137,22.51,2024-02-25/2024-03-01,Time Charter
2021-03-26,Blue Legacy,173338,Taboneo,Dhamra,Coal,160614,10.79,2021-04-13/2021-04-17,Time Charter
2025-06-03,Sea Phoenix,160316,Dalrymple Bay,Haldia,Coal,149512,14.47,2025-06-22/2025-06-26,Spot
2021-12-21,Trade Discovery,181844,Taboneo,Haldia,Coal,158791,11.06,2021-12-28/2022-01-04,Spot
2023-12-11,Silver Horizon,81002,Hampton Roads,Gangavaram,Coal,71318,37.34,2023-12-20/2023-12-26,Spot
2025-01-04,Trade Harmony,173637,Ust-Luga (Baltic),Dhamra,Coal,156452,23.63,2025-01-22/2025-01-25,Spot
2025-07-03,Crown Horizon,163956,Nacala,Paradip,Coal,156176,20.76,2025-07-19/2025-07-25,Spot
2021-04-25,Cape Pride,164144,Gladstone,Vizag,Coal,156495,16.87,2021-05-11/2021-05-18,Spot
2025-10-01,Golden Phoenix,75539,New Orleans,Vizag,Coal,65883,32.44,2025-10-09/2025-10-15,COA
2024-12-05,Pacific Harmony,154379,Gladstone,Vizag,Coal,146775,15.39,2024-12-22/2024-12-25,Spot
2020-01-31,Southern Trader,81095,Vostochny (Far East),Paradip,Coal,72129,22.78,2020-02-13/2020-02-19,Spot
2024-11-05,Southern Horizon,165238,Samarinda,Vizag,Coal,146541,10.87,2024-11-16/2024-11-23,COA
2020-05-30,Bay Discovery,76987,Vostochny (Far East),Haldia,Coal,74078,18.2,2020-06-19/2020-06-26,Spot
2025-04-04,Royal Discovery,77645,Beira,Haldia,Coal,66333,22.2,2025-04-13/2025-04-17,COA
2025-09-01,Southern Discovery,78194,New Orleans,Haldia,Coal,70332,30.16,2025-09-08/2025-09-15,Spot
